Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
319,01-03-2021,Rupifi,Payments/Wallets,Bengaluru,Quona Capital,,,Pre-series A,4100000,2019,
320,01-03-2021,Moneyboxx,Lending/Credit,Mumbai,Ashv Finance, BlackSoil Capital,,Debt Funding,3000000,1994,
321,01-03-2021,DotPe,Payments/Wallets,Gurugram,PayU Finance India, Google,,Series A,27000000,2019,
322,01-03-2021,Five Star Finance,Lending/Credit,Chennai,TPG Capital Asia, Epiq Capital,,,234000000,1984,
323,01-03-2021,Annapurna Finance,Lending/Credit,Bhubaneswar,Asian Development Bank, Oman India Joint Investment Fund,,,30000000,2009,
324,01-03-2021,IndiaLends,Lending/Credit,New Delhi,ACPI Investments, AdvantEdge Founders,,,5100000,2014,
325,01-03-2021,KreditBee,Lending/Credit,Bengaluru,Alpine Capital, PremjiInvest,,Seed,75000000,2018,
326,01-03-2021,True Balance,Lending/Credit,Gurugram,Bon Angels Venture Partners, Daesung Private Equity,,Debt Funding,10000000,2014,
327,01-03-2021,Muvin,Payments/Wallets,Bengaluru,Nitin Gupta, Ashutosh Kumar, Ramakant Sharma,Seed,1000000,2020,
328,01-03-2021,Svasti Microfinance,Lending/Credit,Mumbai,Kayenne Ventures, Nordic Microfinance Initiative,,,4000000,2008,
329,01-03-2021,Nexprt,Other Specialized Fintech,New Delhi,Titan Capital,,,,2000000,2020,
330,01-03-2021,Ankur capital,Investments/Wealth Management,Mumbai,CDC Group, Dutch Good Growth Fund, Small Industries Development Bank of India (SIDBI),,40000000,2011,
331,01-03-2021,Indifi,Lending/Credit,Gurugram,Elevar Equity, Accel India,,Debt Funding,5000000,2015,
332,01-03-2021,Bimaplan,Insurance,Mumbai,Titan Capital, Y Combinator,,Seed,500000,2020,
333,01-03-2021,YAP,Financial Infrastructure/BaaS,Chennai,Jitendra Gupta, Better Capital,,Series B,10000000,2014,
334,01-03-2021,Leap Finance,Lending/Credit,Bengaluru,Jungle Ventures,,,Series B,17000000,2019,
335,01-03-2021,Kinara Capital,Lending/Credit,Bengaluru,GAWA Capital, Gaja Capital,,,6000000,2011,
336,01-03-2021,Northern Arc,Lending/Credit,Chennai,U.S. International Development Finance Corp, Asian Development Bank,,Debt Funding,10000000,2008,
337,01-03-2021,Blume Ventures,Investments/Wealth Management,Mumbai,Avendus,,,,40000000,2011,
338,01-03-2021,KoineArth,Other Specialized Fintech,Bengaluru,YourNest,,,Pre-series A,1800000,2018,
339,01-03-2021,Northern Arc,Lending/Credit,Chennai,Asian Development Bank, U.S. International Development Finance Corp,,Debt Funding,50000000,2008,
340,01-05-2021,BankSathi,Other Specialized Fintech,New Delhi,Dinesh Godara, Aditya Talwar,,Seed,200000,2019,
341,01-05-2021,ANSR,Other Specialized Fintech,Bengaluru,Sistema Asia Capital, Evolvence India Fund,,Series B,15000000,2008,
342,01-05-2021,Karbon Card,Lending/Credit,Bengaluru,MyAsia VC, Orios Venture Partners,,Pre-series A,1000000,2019,
343,01-05-2021,Asirvad Microfinance,Lending/Credit,Chennai,WorldBusiness Capital, Northern Arc,,,15000000,2007,
344,01-05-2021,Kodo Card,Lending/Credit,Mumbai,Brex, Y-Combinator,,Seed,8000000,2019,
345,01-05-2021,Jai Kisan,Lending/Credit,Mumbai,The Chatterjee Group, Prophetic Ventures,,Series A,30000000,2017,
346,01-05-2021,Disruptium,Other Specialized Fintech,Ahmedabad,Pravesh Mehta,,,,200000,2021,
