Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Sector,City / Location,Investor 1,Investor 2,Investor 3,Investment Type,Amount (in USD),Founding Date,Remarks
466,01-03-2022,CredAvenue,Lending/Credit,Chennai,Insight Partners, B Capital Group, Dragoneer Investment Group,Series B,137000000,2020,
467,01-03-2022,PensionBox,Other Specialized Fintech,Bengaluru,Kishore Ganji, Keynote India,,,160000,2021,
468,01-03-2022,Perfios,Business Financial Tools,Bengaluru,Bessemer Venture Partners, Warburg Pincus,,,68000000,2008,
469,01-03-2022,Money View,Lending/Credit,Bengaluru,Tiger Global, Winter Capital, Evolvence India,Series D,75000000,2014,
470,01-03-2022,CredoPay,Payments/Wallets,Chennai,EzSwype LLC, Zent International Limited,,Pre-series A,5000000,2014,
471,01-03-2022,Cosmofeed,Other Specialized Fintech,Gurugram,Growx ventures, Waveform Ventures,,Seed,1500000,2021,
472,01-03-2022,Oxyzo,Lending/Credit,Gurugram,Tiger Global, Alpha Wave,,Series A,200000000,2016,
473,01-03-2022,SIDBI Venture Capital,Investments/Wealth Management,Mumbai,Ubharte Sitaare Fund,,,,60000000,1999,
474,01-03-2022,Aye Finance,Lending/Credit,Gurugram,Triple Jump, Northern Arc,,,9000000,2014,
475,01-03-2022,Vivriti Capital,Lending/Credit,Chennai,Lightstone India, Creation Investments,,Series C,55000000,2017,
476,01-03-2022,CARD91,Financial Infrastructure/BaaS,Bengaluru,Infinity Ventures, Point72 Ventures, Sabre Partners,Pre-series A,13000000,2020,
477,01-03-2022,Finova Capital,Lending/Credit,Jaipur,Norwest Venture Partners, Maj Invest,,,65000000,2015,
478,01-03-2022,HealthQuad,Investments/Wealth Management,New Delhi,MSD, the global biopharmaceutical company,,,160000000,2016,
479,01-03-2022,OneCode,Other Specialized Fintech,Bengaluru,General Catalyst,,,Series A,13000000,2020,
480,01-03-2022,Kogta Financial,Lending/Credit,Jaipur,Multiples,,,Series D,111000000,1996,
481,01-05-2022,Goldenpi,Investments/Wealth Management,Bengaluru,Rainmatter,,,Seed,200000,2017,
482,01-05-2022,Multipl,Other Specialized Fintech,Bengaluru,growX ventures,IIFL Finance,,Seed,300000,2020,
483,01-05-2022,AssetPlus,Investments/Wealth Management,Chennai,Kedar Kulkarni,Nithin Kamath,,Series A,28000000,2016,
484,01-05-2022,BharatX,Financial Infrastructure/BaaS,Bengaluru,Ankur Aggarwal,Vikas Choudhury,,Seed,4800000,2019,
